   text	   data	    bss	    dec	    hex	filename
  29681	   1460	      8	  31149	   79ad	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/message/fusion/mptctl.ko
  46561	   2344	     12	  48917	   bf15	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/message/fusion/mptsas.ko
   4241	   1140	      0	   5381	   1505	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/hsi/hsi.ko
   6412	   1068	      4	   7484	   1d3c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/hsi/clients/hsi_char.ko
  44348	   1200	    104	  45652	   b254	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/synclinkmp.ko
   7921	   3100	     64	  11085	   2b4d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/max3100.ko
   5319	   1126	      0	   6445	   192d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/fsl_lpuart.ko
  26522	   7840	     64	  34426	   867a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/jsm/jsm.ko
   4127	   1328	    392	   5847	   16d7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/uartlite.ko
  12045	   1760	      8	  13813	   35f5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/sc16is7xx.ko
    973	   1088	      0	   2061	    80d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/arc_uart.ko
  27660	   1388	      4	  29052	   717c	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/serial_cs.ko
   6773	   1176	      0	   7949	   1f0d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_exar.ko
   6334	   1096	      0	   7430	   1d06	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_dw.ko
   2617	   1096	      0	   3713	    e81	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_lpss.ko
   2079	   1176	      0	   3255	    cb7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_moxa.ko
   1733	   1072	      0	   2805	    af5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_men_mcb.ko
   3162	   1096	      0	   4258	   10a2	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/8250/8250_mid.ko
   5114	   1144	     12	   6270	   187e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/men_z135_uart.ko
   7323	   1264	      8	   8595	   2193	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/rp2.ko
   2406	   1088	    408	   3902	    f3e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/altera_jtaguart.ko
   3863	   1088	   1760	   6711	   1a37	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/serial/altera_uart.ko
  19431	   2245	     68	  21744	   54f0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/n_gsm.ko
  28776	   1472	    296	  30544	   7750	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/cyclades.ko
  26593	   2280	   3752	  32625	   7f71	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/rocket.ko
    947	   1024	      8	   1979	    7bb	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/n_tracesink.ko
  13424	   2136	  25864	  41424	   a1d0	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/isicom.ko
  42091	   1232	    185	  43508	   a9f4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/synclink_gt.ko
  14921	   1364	   1760	  18045	   467d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/moxa.ko
  49627	   1240	    513	  51380	   c8b4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/synclink.ko
  22730	   1164	  19904	  43798	   ab16	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/mxser.ko
   6620	    984	      0	   7604	   1db4	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/n_r3964.ko
  17021	   5184	    804	  23009	   59e1	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/nozomi.ko
   1051	   1036	      8	   2095	    82f	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/n_tracerouter.ko
  19181	   1160	    256	  20597	   5075	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/ipwireless/ipwireless.ko
   6502	    988	      4	   7494	   1d46	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/tty/n_hdlc.ko
   4543	   1256	      0	   5799	   16a7	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-dln2.ko
   1352	   1016	      0	   2368	    940	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-altera.ko
   7643	  12458	     24	  20125	   4e9d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-loopback-test.ko
   2279	   1776	     48	   4103	   1007	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-pxa2xx-pci.ko
   4501	   1096	      0	   5597	   15dd	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-cadence.ko
   2774	   1856	      0	   4630	   1216	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-tle62x0.ko
   2221	    912	      0	   3133	    c3d	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-bitbang.ko
   4853	    924	      0	   5777	   1691	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-dw.ko
   3766	   1016	      0	   4782	   12ae	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-gpio.ko
   1139	    992	      0	   2131	    853	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-slave-system-control.ko
   1362	   1072	      0	   2434	    982	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-xcomm.ko
   1425	   1016	      0	   2441	    989	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-dw-mmio.ko
   6141	   1736	     16	   7893	   1ed5	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spidev.ko
   2310	   1016	      0	   3326	    cfe	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-oc-tiny.ko
   1878	   1392	      8	   3278	    cce	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-butterfly.ko
   3722	   1016	      0	   4738	   1282	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-axi-spi-engine.ko
   1826	   1104	      8	   2938	    b7a	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-lm70llp.ko
  13870	   1504	      0	  15374	   3c0e	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-pxa2xx-platform.ko
   5194	   1016	      0	   6210	   1842	vanilla-modules/lib/modules/4.18.20-ubuntu-vanilla/kernel/drivers/spi/spi-zynqmp-gqspi.ko
